date,temp,temp_max,temp_min,humidity,rainfall,wind_speed
2010-01-01,5.27,13.61,-1.82,34.11,0.0,1.45
2010-01-02,7.39,15.36,1.25,27.97,0.0,1.34
2010-01-03,9.31,17.12,5.41,26.22,0.0,1.31
2010-01-04,8.17,15.8,4.17,44.04,0.0,1.8
2010-01-05,6.95,14.86,1.36,49.21,0.0,1.39
2010-01-06,7.5,14.5,2.09,44.83,0.0,1.3
2010-01-07,8.86,16.52,3.45,36.83,0.0,1.27
2010-01-08,9.2,16.57,5.08,26.32,0.0,1.34
2010-01-09,8.07,16.46,3.57,25.35,0.0,1.62
2010-01-10,8.18,16.73,3.76,27.04,0.0,1.63
2010-01-11,7.6,16.5,2.74,28.56,0.0,1.66
2010-01-12,7.23,15.67,2.35,28.24,0.04,1.67
2010-01-13,7.18,15.08,2.6,35.48,0.12,1.61
2010-01-14,7.01,14.04,1.15,62.75,0.0,1.54
2010-01-15,8.34,14.97,4.62,46.1,0.0,1.37
2010-01-16,8.82,16.22,3.79,36.71,0.0,1.4
2010-01-17,9.18,15.32,5.91,34.7,0.0,1.21
2010-01-18,8.43,14.97,4.62,29.95,0.0,1.46
2010-01-19,7.5,14.42,3.87,26.01,0.0,1.46
2010-01-20,7.81,14.81,3.24,27.61,0.0,1.39
2010-01-21,7.89,14.52,4.13,28.11,0.0,1.44
2010-01-22,7.81,14.99,3.37,31.39,0.0,1.45
2010-01-23,7.73,14.57,3.81,33.4,0.0,1.52
2010-01-24,8.02,14.53,3.65,32.95,0.0,1.27
2010-01-25,7.35,13.76,3.9,34.85,0.0,1.37
2010-01-26,6.89,13.44,2.3,34.16,0.0,1.63
2010-01-27,7.56,14.54,3.35,34.08,0.0,1.53
2010-01-28,7.57,14.2,3.37,37.42,0.0,1.49
2010-01-29,7.81,13.75,3.83,39.53,0.0,1.42
2010-01-30,6.93,14.31,2.01,38.43,0.0,1.67
2010-01-31,6.74,13.2,3.06,40.55,0.0,1.44
2010-02-01,6.52,13.45,1.76,33.37,0.0,1.53
2010-02-02,5.6,13.77,-0.28,26.66,0.0,1.73
2010-02-03,5.24,12.89,-0.47,25.79,0.0,1.72
2010-02-04,5.19,13.08,-0.28,29.73,0.0,1.73
2010-02-05,5.69,12.85,0.35,31.87,0.0,1.75
2010-02-06,7.83,15.98,2.58,29.67,0.0,1.48
2010-02-07,8.55,15.43,4.03,30.26,0.0,1.53
2010-02-08,9.13,15.62,4.83,40.33,0.0,1.52
2010-02-09,6.93,11.17,3.05,63.69,2.36,0.92
2010-02-10,7.46,15.25,1.81,46.24,0.16,1.95
2010-02-11,8.61,16.56,2.66,27.66,0.07,1.81
2010-02-12,7.99,15.19,4.21,40.05,2.11,1.44
2010-02-13,8.02,15.67,2.65,46.13,0.52,1.85
2010-02-14,7.57,15.93,1.74,25.1,0.0,1.95
2010-02-15,7.87,16.17,0.94,22.65,0.08,1.65
2010-02-16,8.28,16.22,3.25,31.81,0.0,1.74
2010-02-17,7.39,15.88,0.43,37.98,0.0,1.92
2010-02-18,7.85,15.78,1.01,41.53,0.0,1.93
2010-02-19,8.87,15.87,3.99,31.57,0.0,1.61
2010-02-20,8.96,15.86,3.87,36.25,0.0,1.78
2010-02-21,10.02,16.95,5.67,30.92,0.0,1.66
2010-02-22,9.83,16.84,5.34,32.75,0.0,1.49
2010-02-23,9.07,15.77,4.54,39.58,0.07,1.7
2010-02-24,9.23,16.06,4.65,41.49,0.0,1.82
2010-02-25,10.05,17.68,5.13,41.65,0.01,1.83
2010-02-26,10.31,17.35,6.6,46.9,0.93,1.67
2010-02-27,10.16,16.68,5.89,52.78,0.06,1.84
2010-02-28,11.46,18.62,6.53,47.93,0.0,1.61
2010-03-01,10.86,17.62,6.79,52.63,0.12,1.76
2010-03-02,11.21,18.39,6.25,44.18,0.0,1.94
2010-03-03,12.14,19.62,7.17,36.25,0.08,1.64
2010-03-04,11.97,19.78,6.06,34.22,0.0,2.0
2010-03-05,11.45,19.14,5.93,40.39,0.0,2.68
2010-03-06,12.17,20.65,5.52,40.3,0.0,1.98
2010-03-07,12.17,19.67,7.03,28.66,0.0,2.03
2010-03-08,12.39,20.66,6.29,25.78,0.0,1.98
2010-03-09,12.13,20.09,6.99,23.11,0.0,1.82
2010-03-10,12.25,20.44,6.94,20.22,0.0,1.75
2010-03-11,12.46,20.2,7.43,21.3,0.0,1.79
2010-03-12,12.16,19.81,6.9,22.68,0.0,2.01
2010-03-13,11.88,19.51,6.24,26.94,0.06,2.02
2010-03-14,11.8,19.09,6.31,35.62,0.37,1.78
2010-03-15,11.6,18.02,5.58,41.66,0.01,1.79
2010-03-16,12.59,19.21,7.44,40.97,0.17,1.8
2010-03-17,13.14,20.07,7.62,42.69,0.61,1.65
2010-03-18,13.63,19.98,9.44,42.64,0.01,1.6
2010-03-19,15.86,24.07,9.37,31.76,0.0,1.91
2010-03-20,17.09,26.15,10.02,28.23,0.0,1.82
2010-03-21,17.01,24.05,11.8,33.99,0.0,1.97
2010-03-22,16.51,23.99,11.2,34.74,0.0,1.97
2010-03-23,16.71,24.67,10.39,29.75,0.0,2.21
2010-03-24,16.82,25.05,10.27,25.88,0.0,2.1
2010-03-25,16.78,24.51,10.43,24.71,0.0,1.96
2010-03-26,15.82,23.2,10.14,28.58,0.0,2.07
2010-03-27,15.42,23.37,9.31,32.09,0.01,2.1
2010-03-28,15.6,23.07,9.08,31.69,0.0,2.18
2010-03-29,15.6,23.25,9.54,31.26,0.0,2.19
2010-03-30,14.75,21.92,8.69,32.07,0.0,2.08
2010-03-31,14.28,21.8,7.55,35.0,0.01,2.46
2010-04-01,15.1,23.11,7.77,29.9,0.0,2.51
2010-04-02,15.21,23.26,8.1,22.67,0.0,2.09
2010-04-03,15.49,24.22,7.56,19.35,0.0,2.14
2010-04-04,16.01,24.23,9.0,23.25,0.0,2.2
2010-04-05,15.91,24.51,8.36,20.58,0.0,2.29
2010-04-06,16.61,24.79,9.34,17.66,0.0,2.19
2010-04-07,17.51,25.73,10.58,13.88,0.0,1.89
2010-04-08,17.41,25.25,10.8,14.58,0.0,2.02
2010-04-09,18.45,26.53,12.66,16.2,0.0,2.06
2010-04-10,17.18,24.78,11.52,18.24,0.01,1.86
2010-04-11,18.87,27.1,11.4,20.82,0.0,2.2
2010-04-12,18.53,26.48,11.66,26.12,0.0,2.12
2010-04-13,17.26,24.31,11.13,31.75,0.02,1.82
2010-04-14,18.25,25.55,12.18,31.57,0.04,2.07
2010-04-15,17.98,24.36,13.11,35.97,0.23,1.88
2010-04-16,17.84,24.46,12.2,43.32,0.0,1.94
2010-04-17,17.84,24.73,11.49,45.14,0.44,2.06
2010-04-18,18.75,25.66,12.87,43.96,1.66,2.1
2010-04-19,18.84,26.13,11.71,44.47,0.01,2.35
2010-04-20,19.86,27.7,11.73,39.57,0.0,2.63
2010-04-21,20.11,27.9,11.94,34.18,0.0,2.3
2010-04-22,19.72,27.58,12.33,30.25,0.0,2.3
2010-04-23,19.19,26.83,11.64,26.26,0.0,2.2
2010-04-24,18.22,26.26,11.1,22.69,0.0,2.17
2010-04-25,17.82,25.93,9.89,21.29,0.07,2.26
2010-04-26,17.7,25.47,9.67,25.0,2.15,2.12
2010-04-27,16.95,23.75,11.59,39.48,0.02,2.02
2010-04-28,17.77,24.12,12.26,52.98,0.01,1.74
2010-04-29,16.37,21.16,11.64,58.88,0.26,1.89
2010-04-30,17.22,22.25,12.74,64.9,0.37,1.76
2010-05-01,17.0,22.19,13.06,73.86,3.85,1.5
2010-05-02,17.27,22.15,13.24,60.8,0.35,1.67
2010-05-03,15.14,19.67,12.26,65.7,0.2,1.1
2010-05-04,17.0,22.74,12.93,58.19,0.08,1.69
2010-05-05,16.28,21.03,12.44,67.32,4.89,1.41
2010-05-06,14.93,19.17,12.08,77.62,2.13,1.64
2010-05-07,14.6,18.57,11.05,74.61,5.51,1.49
2010-05-08,16.09,21.16,11.5,68.88,2.91,2.13
2010-05-09,17.9,24.01,12.42,55.2,0.16,2.56
2010-05-10,18.96,26.14,11.62,43.09,0.0,2.25
2010-05-11,19.42,27.19,11.32,38.08,0.02,2.29
2010-05-12,19.26,26.75,11.06,31.83,0.0,2.22
2010-05-13,19.28,26.94,11.16,27.79,0.0,2.3
2010-05-14,19.37,27.16,11.82,30.07,0.5,2.12
2010-05-15,18.98,26.26,12.2,36.23,0.02,2.34
2010-05-16,19.29,26.17,12.55,38.08,1.04,2.24
2010-05-17,19.35,26.12,12.88,42.32,0.45,2.06
2010-05-18,19.36,25.63,13.59,53.49,0.08,1.81
2010-05-19,20.06,25.57,14.84,62.02,0.54,1.73
2010-05-20,18.88,24.55,14.49,65.45,11.73,1.81
2010-05-21,17.93,23.06,12.86,66.44,0.63,1.94
2010-05-22,19.21,25.74,13.19,64.81,1.45,2.09
2010-05-23,17.67,21.69,14.57,82.88,14.82,1.72
2010-05-24,17.51,22.02,14.2,80.54,14.65,2.07
